,id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
12010,2229373,323444,1125,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
12011,2229376,323444,1131,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
12012,2229358,323444,1224,1.3,2.0,1.0,1.15,1.45,1.3,,2016.0
12013,2229279,323444,1261,0.125,11.0,1.0,0.09,0.152,0.128,,2016.0
12014,2229321,323444,1293,0.389,,4.0,,,,,
12015,2229392,323444,1105,127.0,1.0,1.0,,,127.0,,2016.0
12016,2229312,323444,1259,0.251,11.0,1.0,0.185,0.3,0.253,,2016.0
12017,2229285,323444,1280,0.007,11.0,1.0,0.004,0.008,0.007,,2016.0
12018,2229374,323444,1129,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
12019,2229323,323444,1304,0.251,11.0,1.0,0.196,0.28,0.251,,2016.0
12020,2229293,323444,1323,0.021,11.0,1.0,0.014,0.023,0.021,,2016.0
12021,2229310,323444,1098,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
12022,2229386,323444,2022,0.015,,4.0,,,,,
12023,2229305,323444,1007,1.36,11.0,1.0,1.16,1.77,1.35,,2016.0
12024,2229365,323444,1217,0.27,2.0,1.0,0.24,0.3,0.27,,2016.0
12025,2229351,323444,2014,0.002,11.0,1.0,0.0,0.004,0.003,,2016.0
12026,2229300,323444,1177,4.0,2.0,1.0,0.0,9.0,4.0,,2016.0
12027,2229362,323444,1213,0.785,2.0,1.0,0.7,0.87,0.785,,2016.0
12028,2229322,323444,1299,0.116,11.0,1.0,0.087,0.129,0.118,,2016.0
12029,2229280,323444,1263,0.36,11.0,1.0,0.264,0.43,0.366,,2016.0
12030,2229326,323444,1311,0.049,11.0,1.0,0.042,0.059,0.049,,2016.0
12031,2229282,323444,1272,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
12032,2229354,323444,1222,0.325,2.0,1.0,0.29,0.36,0.325,,2016.0
12033,2229294,323444,1329,0.283,,4.0,,,,,
12034,2229378,323444,1130,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
12035,2229366,323444,1226,0.565,2.0,1.0,0.49,0.64,0.565,,2016.0
12036,2229276,323444,1253,48.0,7.0,1.0,42.0,57.0,46.0,,2016.0
12037,2229391,323444,1085,10.3,,4.0,,,,,
12038,2229290,323444,1315,2.22,11.0,1.0,1.7,2.49,2.24,,2016.0
12039,2229379,323444,1184,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
12040,2229387,323444,2023,0.005,,4.0,,,,,
12041,2229330,323444,1331,0.001,,4.0,,,,,
12042,2229298,323444,1411,0.003,11.0,1.0,0.0,0.003,0.003,,2016.0
12043,2229337,323444,1170,0.673,3.0,1.0,0.46,0.81,0.75,,2016.0
12044,2229283,323444,1273,0.006,11.0,1.0,0.005,0.007,0.006,,2016.0
12045,2229356,323444,1223,0.735,2.0,1.0,0.66,0.81,0.735,,2016.0
12046,2229349,323444,2012,0.02,11.0,1.0,0.016,0.024,0.02,,2016.0
12047,2229311,323444,1062,657.0,,49.0,,,,,
12048,2229324,323444,1305,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
12049,2229355,323444,1220,0.21,2.0,1.0,0.19,0.23,0.21,,2016.0
12050,2229389,323444,2025,0.0,,4.0,,,,,
12051,2229308,323444,1091,162.0,11.0,1.0,120.0,251.0,152.0,,2016.0
12052,2229340,323444,1005,6.86,,49.0,,,,,
12053,2229384,323444,2018,0.042,,4.0,,,,,
12054,2229331,323444,1406,0.012,11.0,1.0,0.01,0.013,0.012,,2016.0
12055,2229364,323444,1215,0.17,2.0,1.0,0.15,0.19,0.17,,2016.0
12056,2229372,323444,1128,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
12057,2229303,323444,1101,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
12058,2229381,323444,1330,0.068,,4.0,,,,,
12059,2229292,323444,1317,0.002,,4.0,,,,,
12060,2229333,323444,1092,230.0,11.0,1.0,117.0,291.0,241.0,,2016.0
12061,2229332,323444,1087,224.0,11.0,1.0,148.0,375.0,208.0,,2016.0
12062,2229277,323444,1257,0.351,,4.0,,,,,
12063,2229343,323444,1165,0.043,7.0,1.0,0.03,0.05,0.04,,2016.0
12064,2229348,323444,2019,0.001,11.0,1.0,0.0,0.003,0.0,,2016.0
12065,2229342,323444,1051,72.9,11.0,1.0,72.1,75.1,72.6,,2016.0
12066,2229328,323444,1314,0.184,11.0,1.0,0.125,0.211,0.189,,2016.0
12067,2229307,323444,1090,19.7,11.0,1.0,14.6,22.2,20.5,,2016.0
12068,2229278,323444,1258,6.97,,4.0,,,,,
12069,2229359,323444,1225,0.135,2.0,1.0,0.12,0.15,0.135,,2016.0
12070,2229289,323444,1312,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
12071,2229357,323444,1232,0.18,2.0,1.0,0.16,0.2,0.18,,2016.0
12072,2229306,323444,1089,0.1,11.0,1.0,0.0,0.15,0.12,,2016.0
12073,2229304,323444,1003,7.81,,49.0,5.23,10.8,6.95,,
